json,img,layout,verify,no_verify,time_detect,time_pick,time_verify,time_place,time_return
0,5034,p,1,1,,,,,
0,5092,o,0,0,,,,,
0,5037,a,1,1,,,,,
1,5094,a,0,-1,41,32,10,,26
1,5053,p,1,1,,,,,
1,5252,o,0,-1,,,,,
2,5058,p,0,-1,16,44,16,,20
2,5100,a,0,-1,,,,,
2,5101,o,0,-1,29,29,12,,24
3,5102,p,0,0,,,,,
3,5075,o,0,-1,24,43,7,,26
3,5107,a,0,-1,,,,,
4,5250,p,1,1,37,51,5,15,
4,5072,o,0,-1,25,31,10,,25
4,5110,a,1,1,24,28,11,17,
5,5111,a,0,-1,,,,,
5,5112,o,1,1,,,,,
5,5064,p,0,-1,,,,,
7,5113,a,0,0,,,,,
7,5070,o,0,-1,22,30,16,,26
7,5115,p,0,0,,,,,
8,5077,o,0,-1,39,31,10,,26
8,5117,p,1,1,,,,,
8,5118,a,0,0,,,,,
11,5087,o,0,-1,,,,,
11,5121,a,1,1,47,51,12,16,
11,5120,p,0,-1,53,33,10,,26
12,5088,a,0,-1,,,,,
12,5089,p,1,1,40,34,10,16,
12,5090,o,1,1,,,,,
